,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Id,Venue Latitude,Venue Longitude,Venue Category
0,Parkwoods,43.7532586,-79.3296565,Brookbanks Park,4e8d9dcdd5fbbbb6b3003c7b,43.751976046055574,-79.33214044722958,Park
1,Parkwoods,43.7532586,-79.3296565,Variety Store,4cb11e2075ebb60cd1c4caad,43.75197441585782,-79.33311418516017,Food & Drink Shop
2,Victoria Village,43.725882299999995,-79.31557159999998,Victoria Village Arena,4c633acb86b6be9a61268e34,43.72348055545508,-79.31563520925143,Hockey Arena
3,Victoria Village,43.725882299999995,-79.31557159999998,Portugril,4f3ecce6e4b0587016b6f30d,43.72581876267242,-79.31278541470671,Portuguese Restaurant
4,Victoria Village,43.725882299999995,-79.31557159999998,Tim Hortons,4bbe904a85fbb713420d7167,43.725516631714754,-79.31310251366091,Coffee Shop
5,Victoria Village,43.725882299999995,-79.31557159999998,The Frig,4d689350b6f46dcb77ee15b2,43.72705130603407,-79.31741760908679,French Restaurant
6,Victoria Village,43.725882299999995,-79.31557159999998,Eglinton Ave E & Sloane Ave/Bermondsey Rd,51e594d5498e07837484f577,43.726086,-79.31362,Intersection
7,Victoria Village,43.725882299999995,-79.31557159999998,Pizza Nova,4b8fe578f964a520106833e3,43.725823726352196,-79.31286041792907,Pizza Place
8,"Regent Park, Harbourfront",43.6542599,-79.3606359,Tandem Coffee,53b8466a498e83df908c3f21,43.65355870959944,-79.36180945913513,Coffee Shop
9,"Regent Park, Harbourfront",43.6542599,-79.3606359,Roselle Desserts,54ea41ad498e9a11e9e13308,43.653446723052674,-79.3620167174383,Bakery
10,"Regent Park, Harbourfront",43.6542599,-79.3606359,Cooper Koo Family YMCA,574c229e498ebb5c6b257902,43.65324910177244,-79.35800826343677,Distribution Center
11,"Regent Park, Harbourfront",43.6542599,-79.3606359,Body Blitz Spa East,50760559e4b0e8c7babe2497,43.65473505045365,-79.35987433132891,Spa
12,"Regent Park, Harbourfront",43.6542599,-79.3606359,Impact Kitchen,5612b1cc498e3dd742af0dc8,43.65636850543279,-79.35697968750694,Restaurant
13,"Regent Park, Harbourfront",43.6542599,-79.3606359,Corktown Common,51ccc048498ec7792efc955e,43.655617799749734,-79.3562113397429,Park
14,"Regent Park, Harbourfront",43.6542599,-79.3606359,Dominion Pub and Kitchen,566e1294498e3f6629006bc3,43.65691857501867,-79.35896684476664,Pub
15,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Extension Room,4e8b7fa1cc2112f67517660a,43.65331304337331,-79.35972538072777,Gym / Fitness Center
16,"Regent Park, Harbourfront",43.6542599,-79.3606359,Morning Glory Cafe,4ae5b91ff964a520a6a121e3,43.653946942635294,-79.36114884214422,Breakfast Spot
17,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Distillery Historic District,4ad4c05ef964a520bff620e3,43.65024435658077,-79.35932278633118,Historic Site
18,"Regent Park, Harbourfront",43.6542599,-79.3606359,Distillery Sunday Market,4c3e1eaa6faac9b66dc60d76,43.650074989330655,-79.36183171318665,Farmers Market
19,"Regent Park, Harbourfront",43.6542599,-79.3606359,Brick Street Bakery,4b156a02f964a5207fac23e3,43.650574039683974,-79.35953942981405,Bakery
20,"Regent Park, Harbourfront",43.6542599,-79.3606359,SOMA chocolatemaker,4b0978e1f964a520cd1723e3,43.65062222570758,-79.35812684032683,Chocolate Shop
21,"Regent Park, Harbourfront",43.6542599,-79.3606359,Sumach Espresso,5619551a498e9e35fce2256b,43.65813540553308,-79.35951549011845,Coffee Shop
22,"Regent Park, Harbourfront",43.6542599,-79.3606359,Arvo,57cd9d20498e6ab8342980e2,43.64996280366945,-79.36144178325522,Coffee Shop
23,"Regent Park, Harbourfront",43.6542599,-79.3606359,Figs Breakfast & Lunch,4af59046f964a520e0f921e3,43.65567455427388,-79.3645032892494,Breakfast Spot
24,"Regent Park, Harbourfront",43.6542599,-79.3606359,Rooster Coffee,51853a73498e4d97a8b20831,43.65189965670432,-79.36560912104514,Coffee Shop
25,"Regent Park, Harbourfront",43.6542599,-79.3606359,Cacao 70,5653a96f498e99c91027730b,43.650066694561666,-79.36072263183006,Dessert Shop
26,"Regent Park, Harbourfront",43.6542599,-79.3606359,Young Centre for the Performing Arts,4bb68165f562ef3b88483097,43.65082466432163,-79.35759324240415,Performing Arts Venue
